1,1,0,1,1,2,1.06686615943909,984,574,0
2,1,0.5,1,1,2,1.03668189048767,951,553,0
3,1.6125,0,1,0,1,0.972172021865845,981,543,0
4,1,24,1,1,1,0.988281965255737,985,526,0
5,1.9494,0,0,1,1,1.1427218914032,1007,581,0
6,0.9753,0,1,1,2,0.894833087921143,1013,578,0
7,1.9494,0,0,0,1,1.16138005256653,900,490,0
8,0.9753,0,0,1,2,0.914781093597412,902,531,0
9,1,24,1,1,1,1.14107799530029,965,592,0
10,1.1832,0,0,0,2,2.28800296783447,940,583,0
11,0.8168,0,0,0,2,1.51072096824646,916,541,0
12,0.0506,0,1,1,1,1.10668802261353,946,564,0
13,1,8,1,1,1,1.20017385482788,954,537,0
14,1,2,0,1,2,0.951244831085205,910,513,0
15,1.0247,0,0,0,2,1.40420007705688,971,586,0
16,1.0247,0,0,0,2,1.0784649848938,952,570,0
17,1,0,1,0,2,1.06094598770142,1004,536,0
18,1.0247,0,1,0,2,1.045902967453,958,507,0
19,0.9046,0,0,1,2,1.44666385650635,908,587,10
20,1.1832,0,1,0,2,1.79562187194824,1004,566,0
21,1.1832,0,1,0,2,1.7428891658783,1013,496,0
22,0.6584,0,0,0,2,1.91335391998291,1018,558,0
23,1.9494,0,1,0,1,1.03357887268066,958,481,0
24,0.3875,0,1,1,1,1.21292304992676,927,543,0
25,1.0247,0,0,0,2,0.808440923690796,973,551,0
26,0.9512,0,1,0,2,0.895954132080078,929,531,0
27,0.9046,0,0,1,2,1.213791847229,973,595,0
28,1.9494,0,1,1,1,1.03419589996338,904,587,0
29,1,24,1,1,1,1.01006507873535,901,578,0
30,0.3875,0,1,0,1,0.963840961456299,1006,491,0
31,1,1,0,0,2,0.831432104110718,971,550,0
32,1.6125,0,0,1,1,1.163419008255,978,532,0
33,0.0506,0,1,1,1,1.16986608505249,990,509,0
34,0.9512,0,0,1,2,0.665586948394775,1003,490,0
35,0.9753,0,0,1,2,2.02840709686279,903,581,0
36,1,2,1,0,2,1.30709481239319,906,546,0
37,0.3875,0,1,0,1,1.77432680130005,938,577,0
